amenity_name,n_properties
kitchen,1817149
smoke alarm,1718954
wifi,1715041
hot water,1650531
essentials,1643562
carbon monoxide alarm,1572086
hair dryer,1354661
hangers,1346194
cooking basics,1313916
dishes and silverware,1307650
air conditioning,1303872
tv,1253660
heating,1213794
microwave,1213384
refrigerator,1206517
iron,1184955
bed linens,1181124
free parking on premises,1180600
washer,1110493
exterior security cameras on property,1100142
shampoo,1014520
fire extinguisher,1011172
dryer,993752
private entrance,963743
self check-in,947668
dining table,945771
dedicated workspace,881576
freezer,842564
extra pillows and blankets,840923
wine glasses,817184
toaster,801263
first aid kit,800712
cleaning products,788589
oven,786061
dishwasher,742777
hot water kettle,732600
coffee maker,691200
outdoor furniture,683803
outdoor dining area,682577
body soap,633588
shower gel,596171
room-darkening shades,594883
coffee,587907
stove,565995
pets allowed,560210
baking sheet,559319
bbq grill,558424
free street parking,523740
private patio or balcony,523543
bathtub,512165
drying rack for clothing,479908
long-term stays allowed,475952
lockbox,402228
conditioner,391380
blender,390921
long term stays allowed,381243
books and reading material,363008
ceiling fan,354381
barbecue utensils,353352
host greets you,328532
single level home,323900
central heating,322716
free washer – in unit,321766
patio or balcony,319224
clothing storage,307356
board games,301141
laundromat nearby,295563
portable fans,295178
elevator,273621
free dryer – in unit,265531
backyard,262904
keypad,254364
luggage drop-off allowed,249576
ethernet connection,229435
beach access – beachfront,217310
indoor fireplace,215488
luggage dropoff allowed,215225
fire pit,214884
pool,213172
central air conditioning,213021
clothing storage: closet,199982
mini fridge,198303
cleaning available during stay,197785
crib,190575
high chair,185225
waterfront,183422
garden view,181609
sun loungers,180048
outdoor shower,174540
smart lock,173062
bidet,172512
smoking allowed,169109
pack ’n play/travel crib,168271
dishes and cutlery,165683
private backyard – fully fenced,163886
mountain view,163478
lock on bedroom door,160736
bed linen,146793
children’s books and toys,146735
children’s dinnerware,144340
tv with standard cable,143346
fridge,137476
coffee maker: drip coffee maker,136546
washing machine,136333
safe,132834
building staff,115528
electric stove,109603
clothing storage: closet and dresser,108880
mosquito net,108051
exercise equipment,107383
