amenity,source,estimated_cost,min_price,max_price,n_products
table and chairs,IKEA,504.5,99.99,999.99,152
shelf unit,IKEA,79.99,14.99,260.0,92
drawer dresser,IKEA,279.99,59.99,599.99,77
artificial potted plant,IKEA,12.99,1.29,99.99,76
rug,IKEA,99.99,4.99,599.99,72
table,IKEA,249.99,59.99,999.99,69
chair,IKEA,80.0,15.0,399.99,68
frame,IKEA,29.99,1.49,139.99,67
box,IKEA,7.99,2.99,55.0,67
duvet cover and pillowcases,IKEA,29.99,17.99,79.99,58
armchair,IKEA,269.0,45.0,699.0,56
vase,IKEA,14.99,0.99,49.99,54
wardrobe combination,IKEA,565.0,165.0,995.0,54
nightstand,IKEA,89.99,14.99,199.99,54
storage combination,IKEA,222.5,29.99,848.0,54
food container with lid,IKEA,8.99,1.99,15.99,51
desk,IKEA,193.24,59.99,649.0,50
bookcase,IKEA,149.0,24.99,837.0,49
plant pot,IKEA,9.49,0.69,49.99,48
countertop,IKEA,119.0,39.0,349.0,47
mirror,IKEA,79.99,4.99,199.99,46
wall shelf,IKEA,25.0,1.99,299.0,45
bedroom furniture,IKEA,528.99,199.98,928.98,45
led bulb e lumen,IKEA,10.99,2.49,21.99,44
bed frame,IKEA,249.0,59.0,499.0,44
scented candle in glass,IKEA,4.99,0.99,11.99,44
table lamp,IKEA,29.99,12.99,299.99,44
pendant lamp,IKEA,49.99,7.99,249.99,41
box with lid,IKEA,9.99,0.89,37.99,41
cabinet with doors,IKEA,129.0,29.99,499.0,41
basket,IKEA,21.49,3.99,39.99,40
dish towel,IKEA,5.99,0.99,12.99,39
chair pad,IKEA,14.99,2.99,65.0,39
place mat,IKEA,4.99,0.99,8.99,38
tv unit,IKEA,179.99,24.99,449.99,37
side table,IKEA,55.0,9.99,199.99,36
coffee table,IKEA,159.99,29.99,449.99,36
picture,IKEA,27.49,12.99,99.99,36
bed frame with storage,IKEA,499.0,319.0,969.0,35
cushion cover,IKEA,9.99,4.99,24.99,35
storage case,IKEA,12.99,1.99,29.99,34
bowl,IKEA,3.99,1.0,49.99,34
glassdoor cabinet,IKEA,243.5,54.99,599.0,32
