product_name,product_description,product_category,price,source,category_url
BRANÄS,"Basket, rattan, 12 ½x13 ½x12 ½ """,IKEA,24.99,IKEA,https://www.ikea.com/us/en/cat/storage-boxes-baskets-10550/
DRÖNA,"Box, black/patterned, 13x15x13 """,IKEA,4.99,IKEA,https://www.ikea.com/us/en/cat/storage-boxes-baskets-10550/
KUGGIS,"Box with lid, black-blue, 10 ¼x13 ¾x6 """,IKEA,14.99,IKEA,https://www.ikea.com/us/en/cat/storage-boxes-baskets-10550/
UPPDATERA,"Box, gray-blue, 9 1/2x6 3/4 """,IKEA,3.99,IKEA,https://www.ikea.com/us/en/cat/storage-boxes-baskets-10550/
PÄRKLA,"Storage case, 21 ¾x19 ¼x7 ½ """,IKEA,1.99,IKEA,https://www.ikea.com/us/en/cat/storage-boxes-baskets-10550/
KNIPSA,"Basket, seagrass, 12 ½x13x12 ½ """,IKEA,29.99,IKEA,https://www.ikea.com/us/en/cat/storage-boxes-baskets-10550/
KUGGIS,"Storage box with lid, white, 12 ½x12 ½x12 ½ """,IKEA,29.99,IKEA,https://www.ikea.com/us/en/cat/storage-boxes-baskets-10550/
LUSTIGKURRE,"Basket, natural water hyacinth/seagrass, 12 ½x13x12 ½ """,IKEA,24.99,IKEA,https://www.ikea.com/us/en/cat/storage-boxes-baskets-10550/
VATTENTRÅG,"Box with lid, 12 ½x9x4 """,IKEA,0.89,IKEA,https://www.ikea.com/us/en/cat/storage-boxes-baskets-10550/
NOJIG,"Organizer, plastic/beige, 7 ¾x9 ¾x4 """,IKEA,0.99,IKEA,https://www.ikea.com/us/en/cat/storage-boxes-baskets-10550/
KUGGIS,"Box with lid, white, 14 ½x21 ¼x8 ¼ """,IKEA,24.99,IKEA,https://www.ikea.com/us/en/cat/storage-boxes-baskets-10550/
GNABBAS,"Basket, 12 ½x13 ¾x12 ½ """,IKEA,14.99,IKEA,https://www.ikea.com/us/en/cat/storage-boxes-baskets-10550/
UPPDATERA,"Box, green, 9 ½x6 ¾ """,IKEA,1.99,IKEA,https://www.ikea.com/us/en/cat/storage-boxes-baskets-10550/
DRÖNA,"Box, white, 9 ¾x13 ¾x9 ¾ """,IKEA,3.99,IKEA,https://www.ikea.com/us/en/cat/storage-boxes-baskets-10550/
UPPDATERA,"Storage box, light bamboo, 9 ½x12 ½x6 """,IKEA,17.99,IKEA,https://www.ikea.com/us/en/cat/storage-boxes-baskets-10550/
FLÅDIS,"Basket, seagrass, 9 7/8 """,IKEA,17.99,IKEA,https://www.ikea.com/us/en/cat/storage-boxes-baskets-10550/
RISATORP,"Wire basket, white, 9 ¾x10 ¼x7 """,IKEA,14.99,IKEA,https://www.ikea.com/us/en/cat/storage-boxes-baskets-10550/
TÄTING,"Basket, banana leaves/natural, 13 ¾x9 ¾x9 ¾ """,IKEA,17.99,IKEA,https://www.ikea.com/us/en/cat/storage-boxes-baskets-10550/
TROFAST,"Mesh storage box, light red, 16 1/2x11 3/4x9 """,IKEA,12.0,IKEA,https://www.ikea.com/us/en/cat/storage-boxes-baskets-10550/
FJÄDERHARV,"Mini chest with 2 drawers, white, 12 ½x9 ¾ """,IKEA,17.99,IKEA,https://www.ikea.com/us/en/cat/storage-boxes-baskets-10550/
DRÖNA,"Box, set of 3, blue, 7x9 ¾x6 """,IKEA,7.99,IKEA,https://www.ikea.com/us/en/cat/storage-boxes-baskets-10550/
LABBSAL,"Basket, handmade water hyacinth, 12 ½x13 ½x12 ½ """,IKEA,27.99,IKEA,https://www.ikea.com/us/en/cat/storage-boxes-baskets-10550/
MÄVINN,"Basket, beige/jute handmade, 11 ¾x11 ¾x13 ¾ """,IKEA,19.99,IKEA,https://www.ikea.com/us/en/cat/storage-boxes-baskets-10550/
JÄGMÄSTARE,"Basket, 9 ¾x13 ¾x7 ¾ """,IKEA,9.99,IKEA,https://www.ikea.com/us/en/cat/storage-boxes-baskets-10550/
